word,count,mean_attribution,std_attribution,median_attribution,total_attribution
communication,5,-5.616369,1.0950282,-5.933538,-28.081844
single,14,-5.669454,18.75232,-8.490087,-79.37236
particular,11,-5.717082,1.8117898,-5.862844,-62.8879
negative,7,-5.7426276,0.07617236,-5.755259,-40.198395
not,415,-5.859061,15.051472,0.23087242,-2431.5103
chance,8,-5.934493,7.346074,-0.9872527,-47.475945
pressed,7,-5.95978,5.844606,-10.254614,-41.71846
approach,8,-5.9638443,1.6460218,-6.577816,-47.710754
spite,10,-6.000699,1.7871636,-6.916098,-60.006992
history,9,-6.0281177,3.7572896,-8.170528,-54.25306
promote,5,-6.0588017,4.2644877,-9.447634,-30.294008
for,438,-6.062239,21.651913,5.434545,-2655.2607
progress,13,-6.0697765,2.894809,-7.9537015,-78.9071
draw,5,-6.071188,7.0424914,-0.7677713,-30.35594
information,12,-6.0917544,11.318895,-3.1837564,-73.10105
dust,6,-6.171102,4.874915,-8.596394,-37.02661
matter,31,-6.213306,3.961811,-8.762026,-192.61249
boundaries,10,-6.2425437,0.0709496,-6.1960964,-62.425438
world,41,-6.290196,9.940114,-12.136937,-257.89804
to,1555,-6.3136687,17.117002,2.15977,-9817.755
of,1975,-6.32019,10.745344,-0.84830356,-12482.375
school,6,-6.3659635,14.719532,3.9512389,-38.19578
outcomes,6,-6.4060006,0.21540213,-6.4060006,-38.436005
civil,5,-6.409054,0.8243547,-6.9445887,-32.04527
that,703,-6.5144706,13.421605,-0.28293598,-4579.673
across,11,-6.550995,5.2063847,-8.92946,-72.06094
exposure,6,-6.5750995,4.7683716e-07,-6.575099,-39.450596
and,1768,-6.5815263,25.197714,5.3142214,-11636.139
success,11,-6.612775,3.443664,-8.702989,-72.740524
form,11,-6.6389394,8.926738,-14.154928,-73.028336
effort,7,-6.6503778,2.7034981,-7.7911935,-46.552643
laughter,6,-6.704269,5.098381,-8.517547,-40.225613
talent,5,-6.7063484,2.6373785,-8.012355,-33.531742
let,17,-6.7104526,10.194131,-0.7505316,-114.07769
aren,13,-6.7378397,0.14951962,-6.6211977,-87.59192
physical,6,-6.76969,2.5152576,-8.302758,-40.61814
satisfaction,6,-6.801414,2.4142146,-6.5692997,-40.808483
effect,12,-6.814356,8.45709,-8.237581,-81.77227
saying,7,-6.869227,9.868295,-0.38650984,-48.084587
limited,14,-6.872193,3.136857,-8.375485,-96.2107
always,43,-6.8747106,4.1261053,-6.2819147,-295.61255
necessary,22,-6.8800244,5.0662694,-10.456399,-151.36053
different,10,-6.89844,11.128664,-0.79236406,-68.9844
families,7,-6.9126563,2.3385239,-7.973765,-48.388596
event,12,-6.9214897,12.771153,3.3441923,-83.05788
quietly,5,-6.9354706,0.60424566,-6.704198,-34.677353
loss,12,-6.948405,4.8236485,-10.673992,-83.38086
cost,5,-6.9879236,2.930796,-8.740928,-34.939617
stand,5,-7.0234003,7.4085813,-1.5784181,-35.117
one,168,-7.041181,14.404805,2.561151,-1182.9185
warn,6,-7.084999,0.0,-7.084999,-42.509995
re,7,-7.12487,2.6173127,-7.98079,-49.87409
step,13,-7.1814504,6.201583,-3.240486,-93.35886
slow,17,-7.2303534,2.5165832,-8.78033,-122.91601
offers,5,-7.2614007,0.58263266,-7.397098,-36.307003
match,10,-7.2777877,21.175478,5.6723804,-72.77788
everything,7,-7.3044195,9.943637,-2.3180268,-51.130936
soul,10,-7.318329,7.367707,-12.159336,-73.18329
fluctuations,5,-7.330767,0.47024244,-7.42881,-36.653835
walls,7,-7.3375125,5.0259414,-9.564646,-51.362587
anxious,5,-7.365304,4.9582143,-5.8442783,-36.82652
leaving,11,-7.3750362,6.6743164,-10.296073,-81.1254
line,8,-7.377903,15.167709,3.8165052,-59.023224
winter,9,-7.395908,17.774506,7.7688494,-66.56317
market,5,-7.4475503,1.1856544,-7.8098783,-37.23775
speed,6,-7.4476795,6.7221117,-3.345351,-44.686077
is,282,-7.462515,7.3234367,-12.093381,-2104.4292
why,5,-7.4673195,6.8783913,-1.8577874,-37.336597
often,91,-7.571499,3.9599218,-8.912487,-689.0064
glass,6,-7.591335,13.018129,-6.9401298,-45.548008
built,12,-7.6266975,0.9404534,-7.8497796,-91.52037
education,16,-7.639785,5.9136176,-10.209982,-122.23656
curiosity,5,-7.7348976,1.3850002,-7.0423975,-38.674488
it,668,-7.8975897,16.29423,1.6304796,-5275.59
media,5,-7.9114165,0.13253897,-8.019634,-39.557083
support,8,-7.9500513,1.4204022,-8.141636,-63.60041
age,15,-7.9830036,8.397638,-15.434923,-119.745056
does,7,-8.105649,9.445653,-1.713209,-56.73954
or,194,-8.127725,22.740826,6.3625236,-1576.7786
joy,11,-8.128691,7.289601,-13.826101,-89.415596
result,8,-8.130615,5.463802,-11.132356,-65.04492
goes,6,-8.290325,8.556283,-8.23619,-49.74195
agreement,6,-8.378343,4.5532317,-8.607568,-50.270058
altar,5,-8.408572,0.35878712,-8.166786,-42.042862
actions,9,-8.443322,9.860399,-14.767634,-75.9899
weight,19,-8.547748,5.1815624,-11.768188,-162.4072
healthy,5,-8.62151,2.5124822,-9.804888,-43.107548
held,9,-8.6332855,16.833963,3.9148338,-77.69957
health,9,-8.645634,3.9194667,-9.897532,-77.8107
their,195,-8.711938,13.7563095,-1.2378432,-1698.8279
lost,20,-8.748127,10.682477,-8.214603,-174.96254
class,23,-8.790325,2.3417227,-9.322613,-202.17747
justice,9,-8.792574,10.713087,-17.191101,-79.13316
material,7,-8.802252,9.557335,-17.06981,-61.615765
course,15,-8.895228,9.825344,-1.3059095,-133.42842
need,12,-9.087876,4.7810473,-12.01218,-109.05451
further,11,-9.206755,9.926559,-3.604531,-101.2743
cruelty,5,-9.216982,6.5988016,-12.073447,-46.08491
evident,5,-9.373494,0.505051,-9.366139,-46.86747
public,15,-9.396586,5.0572805,-12.837087,-140.94879
blood,14,-9.399333,17.11807,-9.687396,-131.59067
windows,5,-9.420702,8.486168,-15.659663,-47.10351
however,54,-9.438552,14.503064,-10.75442,-509.6818
groups,5,-9.641115,0.14749742,-9.520683,-48.205574
difficulty,7,-9.678629,5.7520623,-7.635536,-67.750404
golden,5,-9.819983,9.396486,-13.56212,-49.099915
even,68,-9.877513,8.211844,-15.960855,-671.6709
this,276,-9.884433,11.748483,-20.070961,-2728.1035
losing,5,-9.973139,4.7089434,-12.204469,-49.865692
childhood,11,-9.975727,1.5876838,-10.487518,-109.733
everyone,7,-10.022423,0.9349397,-10.652191,-70.15696
offered,6,-10.041368,9.247928,-15.7237625,-60.248207
possessions,6,-10.051512,0.23112254,-10.154873,-60.30907
air,11,-10.147522,13.351797,-21.169165,-111.62274
things,14,-10.175395,15.163622,-2.6695065,-142.45554
malice,7,-10.2083845,8.143088,-15.196407,-71.458694
individuals,16,-10.286055,0.095561296,-10.313753,-164.57687
over,59,-10.309566,15.016315,0.21253318,-608.26434
grand,14,-10.314462,4.262259,-11.303235,-144.40247
worth,7,-10.320733,8.142593,-15.161076,-72.24513
wrong,11,-10.324019,9.707966,-17.409027,-113.56421
