word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
am,human,17,0.00074569194,0.0014714656,0.0005210423,0.012676763
pocket,human,5,-0.0006406914,0.0013207261,-3.3095712e-05,-0.0032034568
soon,human,7,0.00061655015,0.0005688452,0.0007093897,0.0043158513
sat,human,5,-0.0002687267,0.0011720837,-0.00021859555,-0.0013436335
house,human,9,0.0028162382,0.0024740754,0.0021060905,0.025346143
case,human,5,-0.0010622983,0.0017329418,-0.0007555507,-0.0053114914
way,human,10,0.00010731161,0.00080492155,9.988864e-05,0.0010731161
ness,human,11,0.0016065919,0.0006848172,0.0015633921,0.01767251
express,human,3,0.001138486,0.0006615025,0.0010477175,0.003415458
any,human,10,0.0005316373,0.0008108355,0.0004972302,0.005316373
seeing,human,4,0.001374508,0.00062896666,0.0011839255,0.005498032
again,human,9,0.0014481075,0.00095233205,0.0013834318,0.013032968
next,human,9,0.0007530141,0.0008213323,0.0006986689,0.0067771273
day,human,8,0.00063439284,0.0011847107,0.0009909217,0.0050751427
breakfast,human,4,0.00071154523,0.0012000692,0.0007247422,0.002846181
rest,human,5,0.0005818532,0.00037572015,0.00060400064,0.002909266
distance,human,5,0.0018880923,0.0013053686,0.0014906715,0.009440461
get,human,4,0.00027901266,0.00032719268,0.0001783924,0.0011160506
into,human,22,0.0009784144,0.0012112737,0.0012349552,0.021525118
town,human,6,0.0037086436,0.002563196,0.0040648403,0.022251861
leave,human,3,-0.0008059244,0.0009915555,-0.00024182013,-0.0024177732
same,human,4,-0.0005607507,0.0006373287,-0.00043295807,-0.0022430029
manner,human,9,0.0009326943,0.0014651283,0.0010167287,0.008394249
found,human,5,0.0014148919,0.0015144178,0.0008141707,0.0070744595
this,human,35,9.258145e-06,0.0014925174,-8.395495e-06,0.00032403506
question,human,3,0.00093288004,0.00016686528,0.0010104406,0.0027986402
wi,human,15,-0.0012707886,0.0019125498,-0.0005401013,-0.01906183
ck,human,13,0.002372827,0.0011390897,0.0023319256,0.03084675
ham,human,13,0.0032912248,0.0013004355,0.0029603424,0.042785924
still,human,8,0.00062864664,0.0013324838,0.0006140837,0.005029173
hope,human,3,0.0025498143,0.00036419914,0.00234483,0.007649443
fortune,human,6,9.6541124e-05,0.0017530583,-0.00033015994,0.0005792467
marriage,human,8,-0.0013782033,0.0012110719,-0.0015507666,-0.011025626
some,human,14,4.66184e-05,0.0010541596,3.6572266e-05,0.0006526576
other,human,7,0.0017745547,0.00078036444,0.001571812,0.012421883
country,human,3,-0.002721388,0.0024830196,-0.0010230751,-0.008164164
circumstances,human,4,0.0008044786,0.0013268,0.00062159734,0.0032179144
against,human,4,0.0006536061,0.0010929737,0.0008312686,0.0026144243
they,human,35,2.5956846e-05,0.0013313498,3.6714395e-05,0.00090848963
met,human,4,0.0013680006,0.00027107474,0.0012688455,0.0054720026
course,human,3,0.00040572105,0.0005360528,0.00037171136,0.0012171632
reasonable,human,3,0.0011953096,0.00048127287,0.0013476899,0.0035859288
everything,human,3,-0.00056637794,0.000408789,-0.0008510803,-0.0016991339
settled,human,4,-0.0010892625,0.0009708653,-0.0012273141,-0.00435705
between,human,5,0.0001349421,0.00083898194,0.00021050934,0.00067471055
darcy,human,17,-6.688647e-05,0.002286033,0.00016757233,-0.0011370699
first,human,19,0.0008553281,0.00090637256,0.0009911992,0.016251234
called,human,5,0.00047897204,0.00068603107,0.00047753536,0.0023948601
church,human,4,-0.0005793291,0.0011563601,-0.0010598537,-0.0023173164
street,human,3,-0.00019529532,0.0028841002,-0.001547578,-0.00058588595
before,human,17,0.00062422396,0.0010880845,0.00046886393,0.010611807
do,human,16,0.00084698293,0.0008730283,0.000734515,0.013551727
see,human,10,0.00071385514,0.00069822464,0.0009772275,0.007138551
even,human,9,0.0009303304,0.00080470496,0.0009352999,0.008372974
gentleman,human,8,0.0014520807,0.0011959005,0.0016879023,0.011616645
ever,human,10,0.00047496814,0.0009852392,0.0005050318,0.0047496813
man,human,11,0.0007296369,0.0013153658,0.00062300515,0.008026006
read,human,6,0.00035803785,0.0008892149,-3.8103914e-05,0.002148227
except,human,3,-0.00044748685,0.00021000666,-0.00039721382,-0.0013424605
only,human,9,0.00019595564,0.0005612222,0.00015336828,0.0017636007
last,human,7,-0.00023403732,0.0005212227,-8.079599e-05,-0.0016382613
little,human,9,0.00039052113,0.0006983252,0.00072954,0.0035146903
wishes,human,4,0.00043910125,0.00016731244,0.00043180093,0.001756405
what,human,27,0.00027250077,0.0009999861,0.00026869564,0.007357521
received,human,4,0.00043571746,0.00068998826,0.000495914,0.0017428698
letter,human,7,0.0014134952,0.0011414452,0.0010519151,0.009894466
monday,human,3,0.00067876483,0.001353745,-2.0998763e-05,0.0020362944
morning,human,5,0.0017248748,0.0010988944,0.0019429435,0.008624374
